id_caso,categoria_caso,complejidad_caso,id_juez,carga_trabajo_juez_pct,especialidad_coincide,tiempo_resolucion_dias
EXP-43324,Familiar,1,J-002,36.58,1,24
EXP-12898,Penal,4,J-002,79.99,0,147
EXP-97231,Laboral,4,J-005,52.78,0,117
EXP-36366,Familiar,2,J-005,28.73,0,101
EXP-66772,Penal,5,J-001,31.4,0,135
EXP-84349,Penal,2,J-002,41.38,0,84
EXP-14101,Familiar,2,J-004,37.74,1,42
EXP-65713,Familiar,3,J-005,31.93,0,98
EXP-17192,Penal,3,J-004,20.89,0,101
EXP-35877,Familiar,2,J-005,36.98,0,87
EXP-82370,Penal,2,J-002,81.91,0,120
EXP-58751,Laboral,5,J-001,64.4,1,85
EXP-74209,Familiar,3,J-002,43.36,1,51
EXP-48382,Familiar,5,J-004,55.27,1,86
EXP-82119,Penal,3,J-003,64.4,1,56
EXP-64379,Penal,1,J-002,51.47,0,81
EXP-82435,Familiar,5,J-005,25.86,0,139
EXP-26275,Laboral,3,J-003,77.37,0,160
EXP-57270,Laboral,2,J-001,64.25,1,22
EXP-11242,Penal,2,J-002,62.88,0,82
EXP-71509,Laboral,4,J-004,28.04,0,134
EXP-34352,Familiar,2,J-003,69.94,0,96
EXP-23700,Laboral,1,J-005,69.79,0,89
EXP-48853,Familiar,1,J-001,61.08,0,74
EXP-96920,Laboral,4,J-003,68.09,0,130
EXP-36319,Penal,1,J-001,44.94,0,69
EXP-65359,Laboral,3,J-002,34.29,0,124
EXP-72592,Penal,4,J-002,68.51,0,136
EXP-85666,Familiar,3,J-001,50.52,0,99
EXP-84411,Penal,1,J-003,57.47,1,18
EXP-40748,Penal,1,J-003,21.63,1,16
EXP-80819,Familiar,2,J-002,48.78,1,31
EXP-15559,Penal,3,J-005,14.62,1,60
EXP-64923,Laboral,3,J-001,17.8,1,55
EXP-29772,Laboral,3,J-003,24.63,0,107
EXP-28903,Familiar,3,J-003,84.52,0,122
EXP-78580,Laboral,1,J-004,65.27,0,97
EXP-95419,Familiar,2,J-003,65.16,0,92
EXP-93921,Familiar,2,J-005,71.46,0,91
EXP-63664,Familiar,1,J-005,94.9,0,124
EXP-10982,Penal,2,J-003,32.47,1,46
EXP-20163,Laboral,4,J-004,69.44,0,143
EXP-52666,Penal,3,J-005,39.04,1,36
EXP-74541,Laboral,2,J-005,69.85,0,99
EXP-88209,Familiar,4,J-005,12.19,0,108
EXP-97941,Penal,2,J-003,90.05,1,70
EXP-76816,Laboral,1,J-002,31.85,0,90
EXP-39878,Familiar,5,J-004,22.19,1,71
EXP-27380,Penal,5,J-005,60.4,1,87
EXP-39883,Penal,3,J-002,58.55,0,124
EXP-58469,Familiar,1,J-003,46.47,0,66
EXP-17002,Laboral,5,J-004,24.03,0,147
EXP-80788,Familiar,4,J-003,59.73,0,130
EXP-47687,Penal,3,J-004,45.09,0,93
EXP-57183,Familiar,5,J-005,55.38,0,138
EXP-79326,Laboral,1,J-003,32.85,0,92
EXP-75443,Laboral,2,J-004,55.79,0,89
EXP-91445,Familiar,1,J-003,67.35,0,82
EXP-98344,Penal,2,J-003,48.06,1,15
EXP-31308,Laboral,4,J-003,63.96,0,141
EXP-74516,Penal,2,J-003,41.27,1,31
EXP-32321,Laboral,5,J-005,26.78,0,146
EXP-92268,Penal,2,J-002,59.73,0,101
EXP-33316,Laboral,1,J-001,85.11,1,28
EXP-66918,Familiar,4,J-002,73.27,1,60
EXP-22690,Laboral,1,J-001,20.54,1,16
EXP-33261,Laboral,4,J-005,84.7,0,173
EXP-55604,Laboral,5,J-004,90.09,0,157
EXP-54206,Familiar,5,J-001,32.09,0,126
EXP-52703,Laboral,1,J-003,25.07,0,72
EXP-62882,Familiar,1,J-004,24.8,1,20
EXP-92924,Penal,4,J-002,77.75,0,173
EXP-81475,Familiar,4,J-005,52.11,0,110
EXP-81658,Laboral,2,J-002,18.31,0,108
EXP-30290,Laboral,1,J-003,10.27,0,84
EXP-86871,Laboral,5,J-005,41.11,0,121
EXP-61776,Penal,5,J-002,57.74,0,122
EXP-33480,Familiar,5,J-002,22.44,1,76
EXP-93570,Familiar,3,J-004,29.81,1,39
EXP-58300,Penal,2,J-002,42.46,0,104
EXP-88303,Laboral,4,J-003,18.77,0,123
EXP-57172,Penal,3,J-004,34.91,0,99
EXP-97950,Laboral,3,J-004,42.3,0,89
EXP-91522,Laboral,4,J-002,50.12,0,149
EXP-34470,Penal,1,J-003,27.18,1,13
EXP-46206,Laboral,4,J-001,78.79,1,93
EXP-35323,Laboral,2,J-002,36.23,0,82
EXP-20526,Familiar,1,J-002,39.61,1,28
EXP-57646,Familiar,3,J-002,62.92,1,46
EXP-17749,Laboral,1,J-004,66.11,0,73
EXP-49921,Laboral,4,J-002,71.71,0,127
EXP-78791,Penal,4,J-003,76.82,1,65
EXP-57619,Familiar,3,J-002,64.87,1,56
EXP-50005,Laboral,3,J-005,80.71,0,148
EXP-58454,Familiar,1,J-004,14.12,1,25
EXP-91285,Laboral,3,J-001,31.92,1,64
EXP-12187,Familiar,4,J-003,69.17,0,132
EXP-47379,Laboral,3,J-003,54.09,0,112
EXP-25912,Laboral,2,J-002,55.41,0,94
EXP-85594,Familiar,5,J-005,76.37,0,174
EXP-34253,Familiar,5,J-001,91.3,0,173
EXP-92496,Penal,5,J-002,78.41,0,173
EXP-97896,Laboral,4,J-004,11.72,0,114
EXP-19577,Penal,3,J-002,53.64,0,107
EXP-34545,Familiar,3,J-002,30.72,1,48
EXP-10847,Laboral,5,J-004,29.57,0,138
EXP-99199,Penal,2,J-001,19.07,0,88
EXP-45233,Laboral,3,J-002,93.29,0,137
EXP-15824,Laboral,3,J-002,75.72,0,152
EXP-89521,Laboral,3,J-003,93.96,0,140
EXP-65944,Laboral,5,J-003,19.35,0,141
EXP-30281,Familiar,3,J-005,47.89,0,116
EXP-34791,Penal,5,J-005,53.82,1,79
EXP-23449,Laboral,4,J-002,66.43,0,140
EXP-86297,Familiar,4,J-002,90.5,1,100
EXP-12276,Familiar,2,J-001,62.04,0,83
EXP-78888,Familiar,4,J-005,15.38,0,133
EXP-70183,Penal,4,J-001,13.37,0,150
EXP-35964,Familiar,1,J-003,50.23,0,90
EXP-34976,Laboral,5,J-005,63.45,0,120
EXP-10508,Laboral,5,J-003,58.54,0,130
EXP-80000,Familiar,4,J-001,56.59,0,108
EXP-86622,Penal,3,J-001,55.63,0,127
EXP-77031,Laboral,2,J-004,53.75,0,73
EXP-84683,Laboral,2,J-001,80.59,1,52
EXP-73258,Penal,2,J-005,62.68,1,34
EXP-89155,Laboral,1,J-003,14.67,0,75
EXP-55258,Familiar,3,J-004,89.93,1,61
EXP-60752,Familiar,4,J-004,52.69,1,54
EXP-62330,Familiar,2,J-005,58.07,0,82
EXP-96676,Penal,2,J-004,70.94,0,95
EXP-41968,Familiar,3,J-001,22.72,0,106
EXP-96948,Familiar,2,J-005,44.66,0,106
EXP-94837,Familiar,2,J-002,16.76,1,33
EXP-93387,Penal,2,J-005,67.86,1,39
EXP-60625,Laboral,1,J-004,51.78,0,81
EXP-17097,Familiar,1,J-005,34.27,0,83
EXP-97860,Laboral,5,J-005,14.19,0,131
EXP-33934,Familiar,1,J-004,43.85,1,31
EXP-32827,Penal,2,J-005,16.96,1,38
EXP-67977,Laboral,2,J-002,26.25,0,117
EXP-23327,Penal,1,J-001,52.53,0,74
EXP-98613,Laboral,5,J-001,65.18,1,77
EXP-18571,Laboral,4,J-004,82.23,0,156
EXP-52020,Laboral,3,J-004,37.24,0,103
EXP-87482,Penal,4,J-005,26.63,1,73
EXP-67243,Familiar,3,J-002,36.77,1,32
EXP-66818,Familiar,4,J-003,16.19,0,125
EXP-93695,Laboral,1,J-004,47.79,0,75
EXP-65135,Penal,4,J-004,89.74,0,154
EXP-71206,Laboral,4,J-005,61.01,0,122
EXP-25862,Laboral,2,J-002,70.61,0,115
EXP-40110,Penal,4,J-003,63.94,1,66
EXP-34666,Penal,1,J-001,43.36,0,62
EXP-14513,Laboral,3,J-003,93.76,0,136
EXP-32971,Laboral,3,J-004,66.81,0,98
EXP-31592,Penal,4,J-004,79.24,0,149
EXP-38727,Penal,2,J-004,16.55,0,100
EXP-45166,Penal,3,J-001,20.34,0,118
EXP-50183,Laboral,4,J-004,51.16,0,116
EXP-76329,Penal,4,J-005,16.58,1,64
EXP-96760,Laboral,1,J-004,55.48,0,89
EXP-77959,Penal,3,J-001,24.91,0,98
EXP-96559,Laboral,5,J-005,50.41,0,129
EXP-11570,Laboral,1,J-002,91.68,0,101
EXP-69572,Laboral,2,J-005,53.64,0,94
EXP-99874,Penal,3,J-002,54.96,0,115
EXP-25623,Penal,3,J-003,84.68,1,71
EXP-91837,Penal,4,J-002,30.64,0,122
EXP-82960,Penal,2,J-001,61.56,0,86
EXP-82612,Penal,4,J-002,78.12,0,181
EXP-15781,Penal,1,J-005,72.81,1,8
EXP-92985,Familiar,1,J-002,87.6,1,31
EXP-40728,Laboral,2,J-001,65.52,1,24
